name,name_short,name_tv,gender,function,country_code,country,country_long,nationality,nationality_long,nationality_code,birth_date,birth_place,birth_country,residence_place,residence_country,lang
de IGNACIO-SIMO Eduard,de IGNACIO-SIMO E,Eduard de IGNACIO-SIMO,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,03/03/2000,,,,,Spanish
FONT Bruno,FONT B,Bruno FONT,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,15/11/2004,,,,Spain,Spanish
GISPERT Xavier,GISPERT X,Xavier GISPERT,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,01/04/1999,,,,Spain,Spanish
IGLESIAS Alvaro,IGLESIAS A,Alvaro IGLESIAS,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,01/03/1993,MADRID,Spain,MADRID,Spain,"English, Spanish"
LACALLE Borja,LACALLE B,Borja LACALLE,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,21/05/2001,,Spain,,Spain,Spanish
MENINI Joaquin,MENINI J,Joaquin MENINI,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,18/08/1991,BEUNOS AIRES,Argentina,,Spain,Spanish
MIRALLES Marc,MIRALLES M,Marc MIRALLES,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,14/11/1997,,Spain,,Netherlands,Spanish
RECASENS Marc,RECASENS M,Marc RECASENS,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,13/09/1999,BARCELONA,Spain,MATADEPERA,Spain,Spanish
REYNE Marc,REYNE M,Marc REYNE,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,18/05/1999,,,,Spain,Spanish
RODRIGUEZ Ignacio,RODRIGUEZ I,Ignacio RODRIGUEZ,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,12/06/1996,SARTANDER,Spain,,,Spanish
VILALLONGA Rafael,VILALLONGA R,Rafael VILALLONGA,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,28/11/2001,,,,Spain,Spanish
VIZCAINO Marc,VIZCAINO M,Marc VIZCAINO,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,30/04/1999,,,,,Spanish
PEREZ GRASSET Macarena,PEREZ GRASSET M,Macarena PEREZ GRASSET,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,19/12/1996,SANTIAGO,Chile,,,"English, Spanish"
MOLINA VERGARA Mauricio,MOLINA VERGARA M,Mauricio MOLINA VERGARA,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,23/08/2001,,Chile,PUENTE ALTO,Chile,"English, Spanish"
BURGHER Niesha,BURGHER N,Niesha BURGHER,Female,Athlete,JAM,Jamaica,Jamaica,Jamaica,Jamaica,JAM,08/08/2002,PORTMORE,Jamaica,"EL PASO, TX",United States,English
van BERKEL Lucas,van BERKEL L,VAN BERKEL,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,29/11/1991,"EDMONTON, AB",Canada,,,English
LUI Justin,LUI J,LUI,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,08/05/2000,,,,,English
WALSH Brett James,WALSH BJ,WALSH,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,19/02/1994,"CALGARY, AB",Canada,,,English
HOFER Brodie,HOFER B,HOFER,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,27/04/2000,,,,,English
SZWARC Arthur,SZWARC A,SZWARC,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,30/03/1995,"TORONTO, ON",Canada,ITALY,,"English, Italian, Polish"
DEMYANENKO Danny,DEMYANENKO D,DEMYANENKO,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,13/07/1994,"TORONTO, ON",Canada,,,"English, French"
HOAG Nicholas,HOAG N,HOAG,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,19/08/1992,"GATINEAU, QC",Canada,,,"English, French, Italian"
HERR Luke,HERR L,HERR,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,18/07/1994,"THREE HILLS, AB",Canada,"WINNIPEG, MB",Canada,English
KETRZYNSKI Xander,KETRZYNSKI X,WASSENAAR KETRZYNSKI,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,27/01/2000,,,,,English
LOEPPKY Eric,LOEPPKY E,LOEPPKY,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,01/08/1998,"STEINBACH, MB",Canada,,,English
MAAR Stephen Timothy,MAAR ST,MAAR,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,06/12/1994,"SCARBOROUGH, ON",Canada,,,"English, Italian"
BARNES Ryley Brendan,BARNES RB,BARNES,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,11/10/1993,"EDMONTON, AB",Canada,,,English
McCARTHY Fynnian Lionel,McCARTHY FL,MCCARTHY,Male,Athlete,CAN,Canada,Canada,Canada,Canada,CAN,04/12/1999,"KELOWNA, BC",Canada,,,English
VIDAURRE KOSSMANN Martin,VIDAURRE KOSSMANN,Martin VIDAURRE KOSSMANN,Male,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,18/02/2000,SANTIAGO,Chile,,,"German, Spanish"
SOTO CAMPOS Catalina,SOTO CAMPOS C,Catalina SOTO CAMPOS,Female,Athlete,CHI,Chile,Chile,Chile,Chile,CHI,08/04/2001,SANTIAGO,Chile,,,"English, Spanish"
SEPULVEDA Eduardo,SEPULVEDA E,Eduardo SEPULVEDA,Male,Athlete,ARG,Argentina,Argentina,Argentina,Argentina,ARG,13/06/1991,RAWSON,Argentina,ANDORRA LA VELLA,Andorra,Spanish
HELLVIG Jonatan,HELLVIG J,Jonatan HELLVIG,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,05/10/2001,STOCKHOLM,Sweden,STOCKHOLM,Sweden,Swedish
AHMAN David,AHMAN D,David AHMAN,Male,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,20/12/2001,UMEA,Sweden,UMEA,Sweden,Swedish
de BRUIN Marlize,de BRUIN M,Marlize de BRUIN,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,11/11/1994,PRETORIA,South Africa,CAPE TOWN,South Africa,"Afrikaans, English"
LATEGAN Liske,LATEGAN L,Liske LATEGAN,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,25/11/1998,GROBLERSDAL,South Africa,STELLENBOSCH,South Africa,"Afrikaans, English"
MALINGA Ayanda,MALINGA A,Ayanda MALINGA,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,23/06/1998,,,JOHANNESBURG,South Africa,English
MPUPHA Zintle,MPUPHA Z,Zintle MPUPHA,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,25/12/1993,XESI (MIDDLEDRIFT),South Africa,STELLENBOSCH,South Africa,"English, Xhosa"
ROOS Nadine,ROOS N,Nadine ROOS,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,09/05/1996,,South Africa,STELLENBOSCH,South Africa,English
SIMMERS Mathrin,SIMMERS M,Mathrin SIMMERS,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,03/03/1988,KNYSNA,South Africa,SOMERSET WEST,South Africa,"Afrikaans, English"
BALOYI Kemisetso,BALOYI K,Kemisetso BALOYI,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,08/03/1998,SHOSHANGUVE,South Africa,,,English
LAMPRECHT Shiniqwa,LAMPRECHT S,Shiniqwa LAMPRECHT,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,24/04/2003,,,,,
TSHIREMBA Maria,TSHIREMBA M,Maria TSHIREMBA,Female,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,29/12/1995,MAGAU,South Africa,PRETORIA,South Africa,English
