,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source
77,Anne-Leen Thorburn,,,female,,Africa,2006,False,False,wikidata
78,Garcelle Napier,Garcelle,Napier,female,ZA,Africa,2005,False,False,wikidata
79,Janke du Plessis,,,female,,Africa,2005,True,False,wikidata
80,Phiwe Mangaliso Nhleko,,,female,ZA,Africa,2006,True,False,wikidata
81,Shante Thandiso Keleboglie Koti,,,female,ZA,Africa,2006,True,False,wikidata
82,Hannah de Goede,,,female,,Africa,2006,True,False,wikidata
83,Isabella Tanya Bottger,,,female,ZA,Africa,2006,True,False,wikidata
84,Jasmin Pillay,Jasmin,Pillay,female,ZA,Africa,2006,False,False,wikidata
85,Minette Hough,Minette,Hough,female,,Africa,2004,False,False,wikidata
86,Olivia Laszlo Bergem,,,female,,Africa,2006,True,False,wikidata
87,Fatou Samba,Fatou,Samba,female,SN,Africa,1995,False,False,wikidata
88,Tyde Kara Cooper,,,female,ZA,Africa,2006,True,False,wikidata
89,Melissa Cohen,Melissa,Cohen,female,ZA,Africa,1986,False,False,wikidata
90,Sira Jallow,Sira,Jallow,female,GM,Africa,2004,False,False,wikidata
91,Vivienne Roumani,Vivienne,Roumani,female,LY,Africa,1950,False,False,wikidata
92,Mariya Petrovna Zhabinskaya,,,female,MZ,Africa,1938,True,False,wikidata
93,Sophie Heidi Kam,,,female,BF,Africa,1968,True,False,wikidata
94,Mariama Sowe,Mariama,Sowe,female,GM,Africa,2000,False,False,wikidata
95,Hannah Faal-Heim,,,female,GM,Africa,2000,False,False,wikidata
96,Tsehay Melaku,Tsehay,Melaku,female,ET,Africa,1952,False,False,wikidata
97,Tamy Moyo,Tamy,Moyo,female,ZW,Africa,1998,False,False,wikidata
98,Alphonse Menyo,Alphonse,Menyo,female,GH,Africa,1998,False,False,wikidata
99,Chiedza Mhende,Chiedza,Mhende,female,ZW,Africa,1991,False,False,wikidata
100,Shana Dowdeswell,Shana,Dowdeswell,female,ZW,Africa,1989,False,False,wikidata
101,Jean Doyle,Jean,Doyle,female,ZA,Africa,1930,False,False,wikidata
102,Geneviève Boko Nadjo,,,female,BJ,Africa,1956,True,False,wikidata
103,Vivian Ewalefo,Vivian,Ewalefo,female,NG,Africa,1985,False,False,wikidata
104,Shudufhadzo Musida,Shudufhadzo,Musida,female,ZA,Africa,1996,False,False,wikidata
105,Catarina Taborda,Catarina,Taborda,female,GW,Africa,1989,False,False,wikidata
106,Noga Treves,Noga,Treves,female,,Africa,1901,False,False,wikidata
107,Fatou Baldeh,Fatou,Baldeh,female,GM,Africa,1983,False,False,wikidata
108,Fatima Chiguer,Fatima,Chiguer,female,MA,Africa,1948,False,False,wikidata
