,Unnamed: 0,person,person_label,genders,dobs,countries,continents,hasMiddleName,hasProblematicName,hasNoLastName,person_label_norm,hasDifficultName,difficult_reason
36,36.0,http://www.wikidata.org/entity/Q100275809,Togola Marie Jacqueline Nana,female,1949-04-29T00:00:00Z,Mali,Africa,True,False,False,Togola Marie Jacqueline Nana,False,
37,37.0,http://www.wikidata.org/entity/Q100276084,Priscilla Jana,female,1943-12-05T00:00:00Z,South Africa,Africa,False,False,False,Priscilla Jana,False,
38,38.0,http://www.wikidata.org/entity/Q100279030,Diarra Raky Talla,female,1966-08-15T00:00:00Z,Mali,Africa,True,False,False,Diarra Raky Talla,False,
39,39.0,http://www.wikidata.org/entity/Q100279449,Sanogo Aminata Mallé,female,1957-01-01T00:00:00Z,Mali,Africa,True,False,False,Sanogo Aminata Mallé,True,non_ascii
40,40.0,http://www.wikidata.org/entity/Q100280127,Bintou Founé Samaké,female,1960-01-01T00:00:00Z,Mali,Africa,True,False,False,Bintou Founé Samaké,True,non_ascii
41,41.0,http://www.wikidata.org/entity/Q100280563,Traoré Seynabou Diop,female,1963-11-16T00:00:00Z,Mali,Africa,True,False,False,Traoré Seynabou Diop,True,non_ascii
42,42.0,http://www.wikidata.org/entity/Q100310363,Aïcha Macky,female,1982-01-08T00:00:00Z,Niger,Africa,False,False,False,Aïcha Macky,True,non_ascii
43,43.0,http://www.wikidata.org/entity/Q100313973,Keïta Aïda M'Bo,female,1958-01-01T00:00:00Z,Mali,Africa,True,False,False,Keïta Aïda M'Bo,True,apostrophe|non_ascii
44,44.0,http://www.wikidata.org/entity/Q100319041,Philippa Ndisi-Herrmann,female,1985-01-01T00:00:00Z,Kenya,Africa,False,False,False,Philippa Ndisi-Herrmann,True,hyphen
45,45.0,http://www.wikidata.org/entity/Q100320633,Ly Taher Dravé,female,1972-06-01T00:00:00Z,Mali,Africa,True,False,False,Ly Taher Dravé,True,non_ascii
46,46.0,http://www.wikidata.org/entity/Q100324206,Bridget Otoo,female,1983-01-01T00:00:00Z,Ghana,Africa,False,False,False,Bridget Otoo,False,
47,47.0,http://www.wikidata.org/entity/Q100326095,Branwen Okpako,female,1969-02-25T00:00:00Z,Nigeria,Africa,False,False,False,Branwen Okpako,False,
48,48.0,http://www.wikidata.org/entity/Q100330628,Voahary Rakotovelomanantsoa,female,1982-07-20T00:00:00Z,Madagascar,Africa,False,False,False,Voahary Rakotovelomanantsoa,False,
49,49.0,http://www.wikidata.org/entity/Q100330737,Joelle Kayembe,female,1983-05-31T00:00:00Z,Democratic Republic of the Congo,Africa,False,False,False,Joelle Kayembe,False,
50,50.0,http://www.wikidata.org/entity/Q100334087,Sophia Byass,female,1993-05-26T00:00:00Z,The Gambia,Africa,False,False,False,Sophia Byass,False,
51,51.0,http://www.wikidata.org/entity/Q100341292,Marthe Solange Achy Brou,female,1949-01-01T00:00:00Z,Ivory Coast,Africa,True,False,False,Marthe Solange Achy Brou,False,
52,52.0,http://www.wikidata.org/entity/Q100341661,Celeste Heloise Barker,female,1960-07-07T00:00:00Z,South Africa,Africa,True,False,False,Celeste Heloise Barker,False,
53,53.0,http://www.wikidata.org/entity/Q100343336,Mandisa Makesini,female,1975-09-20T00:00:00Z,South Africa,Africa,False,False,False,Mandisa Makesini,False,
54,54.0,http://www.wikidata.org/entity/Q100364484,Loub Yacout Zaïdou,female,1961-01-01T00:00:00Z,Comoros,Africa,True,False,False,Loub Yacout Zaïdou,True,non_ascii
55,55.0,http://www.wikidata.org/entity/Q100375903,Cynthia Butare,female,1987-01-01T00:00:00Z,Rwanda,Africa,False,False,False,Cynthia Butare,False,
