person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q100137690,Ralph A. Coniston,male,1906-02-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100137737,Joanasie Kakee Korgak,male,1973-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100138068,Kowtynoo,male,1913-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100138117,Howard A. Knutson,male,1929-05-16T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100138346,Daniel Nuluki Kuanana,male,1936-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100138592,Jonassie Kudluk,male,1936-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100138618,Thomassie Kudluk,male,1910-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100139227,Gilles-Marie Bélanger,male,1911-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100140725,Ernie Whitecloud,male,1943-05-31T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100143418,James Kukkik,male,1949-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100144370,Émile Gosselin,male,1922-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100144425,Yvan Labelle,male,1929-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100144650,Donald Traver,male,1957-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100144672,Edgar A. Dryden,male,1937-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100145413,Eric G. Ball,male,1904-07-12T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100145562,Harutyun Kirakosyan,male,1913-01-01T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q100145732,Souren Hovakimyan,male,1911-01-01T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q100145970,Nicolas Lévesque,male,1982-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100146153,Josepie Niviaxie,male,1914-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100146189,Charles Dilbeck,male,1907-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146286,Bryce Hamilton,male,2000-11-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146354,Christian Harris,male,2001-01-16T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146356,Cord Jefferson,male,1982-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146357,DeAngelo Malone,male,1999-07-12T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146408,Robert F. Harrison,male,1925-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100146436,Jessie Lemonier,male,1997-01-31T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146477,W. Randle Iredale,male,1929-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100146523,Tyler Hall,male,1998-10-31T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146530,Daniel Ruge,male,1917-05-13T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146534,Ford Smith,male,1919-01-19T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146542,Joseph Manzo,male,1917-02-03T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100146659,Stone Ishimaru,male,1923-05-09T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100147497,Samuel LeBlond,male,1985-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100148224,Julius Tennon,male,1953-12-24T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100149002,Vishesh Chachra,male,2000-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100149278,Brian Fennelly,male,1937-08-14T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100149337,Nicholas Bardach,male,1954-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100149431,Jan Hajda,male,1927-03-02T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100149493,Seth Jarvis,male,2002-02-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100149533,Jack Quinn,male,2001-09-19T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100149713,Canyon Prince,male,1977-12-14T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100150920,Connor Zary,male,2001-09-25T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100151627,Gilles Beausoleil,male,1927-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100151879,Stewart Chaney,male,1906-06-23T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152008,Carlos Rojas,male,1970-06-05T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152138,Kim Foltz,male,1948-08-29T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152224,James N. Baker,male,1946-09-04T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152426,Flip Kobler,male,1967-05-10T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152550,Tom Rogers,male,1985-12-24T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100152661,Garnik Isahakyan,male,1908-01-01T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q100153124,David Mitchell,male,1954-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100153910,Frank J. Blatt,male,1924-05-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100153949,Clément Cinq-Mars,male,1918-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100154054,Juanisi Nauja,male,1927-01-01T00:00:00Z,Canada,North America
http://www.wikidata.org/entity/Q100154148,Suren Hovhannisyan,male,1912-01-01T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q100154399,Jason Gelinas,male,1977-01-01T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100154584,Robert P. Knight,male,1902-07-18T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100155725,Powerhouse Hobbs,male,1991-01-23T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100156210,Eugenio Chemp,male,1916-02-18T00:00:00Z,Russian Empire,North America
http://www.wikidata.org/entity/Q100156269,Mike Quinn,male,1962-12-06T00:00:00Z,United States,North America
http://www.wikidata.org/entity/Q100157076,Thomas Gentille,male,1936-01-01T00:00:00Z,United States,North America
