person,person_label,genders,dobs,countries,continents
http://www.wikidata.org/entity/Q100262813,Mayuko Goto,female,1995-07-13T00:00:00Z,Japan,Asia
http://www.wikidata.org/entity/Q100267432,Aarushi Nishank,female,1986-01-01T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100272313,Emi Moronuki,female,1992-10-22T00:00:00Z,Japan,Asia
http://www.wikidata.org/entity/Q100272600,Naima Akter,female,1999-02-07T00:00:00Z,Bangladesh,Asia
http://www.wikidata.org/entity/Q100274283,Po Po Heather,female,1998-01-08T00:00:00Z,Myanmar,Asia
http://www.wikidata.org/entity/Q100276701,Mimlu Sen,female,1949-01-01T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100286218,Haiying Shen,female,1978-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100292168,Maryam Saqer Al Qasimi,female,1990-01-01T00:00:00Z,United Arab Emirates,Asia
http://www.wikidata.org/entity/Q100294301,Hemlata Talesra,female,1944-07-01T00:00:00Z,British Raj,Asia
http://www.wikidata.org/entity/Q100301952,Feng Junyang,female,1998-12-29T00:00:00Z,Indonesia,Asia
http://www.wikidata.org/entity/Q100302982,Alexandra Fjodorowna Salnikowa,female,1900-04-28T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q100304600,Sahar Zohouri,female,1986-01-01T00:00:00Z,Iran,Asia
http://www.wikidata.org/entity/Q100307666,Subur Parthasarathy,female,1911-01-01T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100308127,Rekha Boyalapalli,female,1983-11-12T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100308760,Hee Sook Lee,female,1959-06-24T00:00:00Z,Korea,Asia
http://www.wikidata.org/entity/Q1003099,Xu Jiao,female,1997-08-05T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100319448,Galina Arapova,female,1972-06-16T00:00:00Z,Soviet Union,Asia
http://www.wikidata.org/entity/Q100319922,Abhinaya,female,1971-01-01T00:00:00Z,India,Asia
http://www.wikidata.org/entity/Q100319932,Aya Sato,female,1994-07-02T00:00:00Z,Japan,Asia
http://www.wikidata.org/entity/Q100319946,Louise Elisabeth Coldenhoff,female,1935-03-22T00:00:00Z,Indonesia,Asia
http://www.wikidata.org/entity/Q100319976,Yang Yi,female,1952-01-01T00:00:00Z,People's Republic of China,Asia
http://www.wikidata.org/entity/Q100320043,Jannie Lasimbang,female,1962-11-29T00:00:00Z,Malaysia,Asia
http://www.wikidata.org/entity/Q100320767,Xiao-Ying Bai,female,2007-10-03T00:00:00Z,Taiwan,Asia
http://www.wikidata.org/entity/Q100321834,Yehudit Malik Shiran,female,1958-05-18T00:00:00Z,Israel,Asia
http://www.wikidata.org/entity/Q100323013,Kay Kay Moe,female,1991-09-09T00:00:00Z,Myanmar,Asia
http://www.wikidata.org/entity/Q100323701,Nili Dotan,female,1955-03-28T00:00:00Z,Israel,Asia
http://www.wikidata.org/entity/Q100323856,Nicholle Toh,female,2001-08-18T00:00:00Z,Singapore,Asia
http://www.wikidata.org/entity/Q100323864,Ai Soma,female,1997-09-15T00:00:00Z,Japan,Asia
http://www.wikidata.org/entity/Q100323869,Yukina Hirayama,female,1995-12-19T00:00:00Z,Japan,Asia
